"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL226625";"";"None";"426.44";"0";"4.90";"13ac";"Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(C(F)(F)F)c4)c3)cc12";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"19.47";"0.37";"3.40";"10.81";"0";"CHEMBL889249";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1145373";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL201307";"";"None";"580.69";"1";"4.63";"46";"COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN1CCC(CO)CC1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL862115";"Inhibitory activity against PKA";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1149372";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL308116";"";"None";"339.35";"0";"3.85";"3b";"Cn1ccc2ccc3c4[nH]c5ccccc5c4c4c(c3c21)C(=O)NC4=O";"IC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL306856";"";"None";"510.59";"1";"4.18";"12d";"COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCCN3CCC(O)CC3)c2c1)C(=O)NC4=O";"IC50";"'='";"2810.0";"nM";"5.55";"";"";"UO_0000065";"10.87";"0.20";"1.37";"6.26";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL304361";"";"None";"385.38";"0";"4.46";"9s";"O=C(c1ccc2ccccc2c1)n1c2cc(O)c(O)cc2c2ccc(O)c(O)c21";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"15.57";"0.28";"1.54";"5.83";"0";"CHEMBL766844";"In vitro inhibitory activity against protein kinase A";"B";"BAO_0000224";"protein format";"unidentified";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127577";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";""
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"Staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"16.55";"0.30";"3.37";"11.12";"0";"CHEMBL769033";"Inhibition of human neutrophil protein kinase A (PKA)";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1126671";"1";"Scientific Literature";"J Med Chem";"1993";"None";"";""
"CHEMBL74637";"";"None";"341.33";"0";"3.54";"3s";"O=C1NC(=O)c2c1c1c(ccc3cc[nH]c31)c1[nH]c3cc(O)ccc3c21";"IC50";"'='";"949.0";"nM";"6.02";"";"";"UO_0000065";"17.64";"0.32";"2.48";"6.15";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL76464";"";"None";"509.61";"1";"3.97";"12g";"COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCCN3CCN(C)CC3)c2c1)C(=O)NC4=O";"IC50";"'='";"2930.0";"nM";"5.53";"";"";"UO_0000065";"10.86";"0.20";"1.56";"7.71";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL427118";"";"None";"521.48";"2";"2.95";"3";"O=C(N[C@@H]1CCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"14.43";"0.27";"4.57";"3.95";"0";"CHEMBL757141";"Inhibition of cAMP-dependent protein kinase (PKA)";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1129020";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";""
"CHEMBL318650";"";"None";"502.62";"2";"1.57";"16";"NC(Cc1ccccc1)C(=O)NCCNCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O";"IC50";"'='";"120000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL822640";"Inhibition of c-AMP dependent kinase (PKA) using histone II A protein";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128033";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL339364";"";"None";"576.70";"2";"6.17";"21";"CO[C@H]1[C@@H](N(C)C(=O)C2CCCCC2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"1570.0";"nM";"5.80";"";"";"UO_0000065";"10.06";"0.18";"-0.37";"7.47";"0";"CHEMBL768001";"Inhibitory activity against cAMP-dependent protein kinase A was determined";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL538718";"";"None";"487.00";"0";"3.43";"5 (Ro-320556)";"CN1C[C@@H]2Cn3c(c(C4=C(c5cn(C)c6ccccc56)C(=O)NC4=O)c4ccccc43)C[C@H]2C1.Cl";"IC50";"'='";"5500.0";"nM";"5.26";"";"";"UO_0000065";"11.67";"0.21";"1.83";"8.87";"0";"CHEMBL771965";"Inhibition of cyclic AMP dependent protein kinase A (PKA)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127893";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL310491";"";"None";"468.58";"0";"4.44";"13k";"Cn1ccc2ccc3c4[nH]c5c(CCN6CCSCC6)cccc5c4c4c(c3c21)C(=O)NC4=O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL208292";"";"None";"429.88";"0";"3.62";"7";"COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL870111";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1147701";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL382638";"";"None";"429.88";"0";"3.62";"5";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL870111";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1147701";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"1a (+)-Staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL772601";"Inhibition of Protein kinase A (Histone) (not tested)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL383541";"";"None";"370.46";"0";"4.08";"2q";"N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12";"IC50";"'='";"38.0";"nM";"7.42";"";"";"UO_0000065";"20.03";"0.36";"3.34";"9.66";"1";"CHEMBL869531";"Inhibition of PKA using 10 uM ATP";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1146058";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL383264";"";"None";"394.48";"0";"4.73";"13a(S-)";"N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12";"IC50";"'='";"2.1";"nM";"8.68";"";"";"UO_0000065";"22.00";"0.40";"3.95";"11.30";"0";"CHEMBL864414";"Inhibition of PKA at 10 uM ATP";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1146102";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL436817";"";"None";"427.27";"1";"5.63";"11";"N#Cc1cnc2c(Cl)cc(NCc3cnc[nH]3)cc2c1Nc1ccc(F)c(Cl)c1";"IC50";"'='";"40100.0";"nM";"4.40";"";"";"UO_0000065";"10.29";"0.21";"-1.23";"4.92";"0";"CHEMBL896200";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1148782";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL388312";"";"None";"447.85";"0";"4.64";"37b";"N[C@H](COc1cncc(-c2cc3c(Cl)n[nH]c3cn2)c1)Cc1cccc(C(F)(F)F)c1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"17.47";"0.34";"3.18";"8.72";"0";"CHEMBL889249";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1145373";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL574737";"UCN-01";"2.0";"482.54";"0";"3.84";"UCN-01";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O";"IC50";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"15.29";"0.28";"3.54";"8.23";"0";"CHEMBL772605";"Inhibition of protein kinase A";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1126419";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1992";"None";"";""
"CHEMBL78618";"";"None";"236.20";"0";"3.73";"7";"FC(F)(F)c1ccc2[nH]c3cnccc3c2c1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772598";"Inhibitory activity against protein kinase A.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136119";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL84808";"";"None";"334.16";"0";"3.74";"21";"Nc1ccc2c(c1)C(=O)/C(=C/c1cc(Cl)c(O)c(Cl)c1)C2=O";"IC50";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"15.86";"0.33";"1.56";"6.59";"0";"CHEMBL768315";"Inhibition of Protein Kinase A (PKA)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1130961";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";""
"CHEMBL14762";"SELICICLIB";"2.0";"354.46";"0";"3.20";"roscovitine";"CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL823565";"Inhibition of cAMP-dependent protein kinase";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1135432";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";""
"CHEMBL73764";"";"None";"480.57";"0";"4.29";"13m";"Cn1ccc2ccc3c4[nH]c5c(CCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O";"IC50";"'='";"9810.0";"nM";"5.01";"";"";"UO_0000065";"10.42";"0.19";"0.72";"5.05";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL431181";"";"None";"369.38";"0";"3.34";"3f";"Cn1ccc2ccc3c4[nH]c5cccc(CO)c5c4c4c(c3c21)C(=O)NC4=O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL350084";"";"None";"294.33";"0";"1.08";"9";"COC(=O)CCNS(=O)(=O)c1cccc2cnccc12";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL768313";"Inhibition of cAMP-dependent protein kinase (PKA) (no inhibition)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1125757";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";""
"CHEMBL21162";"";"None";"415.88";"1";"5.50";"19";"Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL767982";"Inhibition of protein kinase A.";"B";"BAO_0000224";"protein format";"unidentified";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1130562";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";""
"CHEMBL413032";"";"None";"275.14";"0";"3.93";"28";"O=C(CBr)c1ccc(-c2ccccc2)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL822639";"Inhibitory activity against protein kinase A (PKA )";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1145133";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";""
"CHEMBL388978";"STAUROSPORINE";"None";"466.54";"0";"4.35";"Staurosporine";"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'<'";"1.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3620302";"Inhibition of PKA (unknown origin) after 40 mins by scintillation counting analysis";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL3616395";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL329274";"";"None";"327.34";"0";"3.08";"GF-109203X (Bisindolylmaleimide)";"O=C1NC(=O)C(n2ccc3ccccc32)=C1n1ccc2ccccc21";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"17.41";"0.31";"2.62";"10.17";"0";"CHEMBL822640";"Inhibition of c-AMP dependent kinase (PKA) using histone II A protein";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128033";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL441258";"";"None";"383.41";"0";"4.25";"3w";"CCOc1ccc2c(c1)[nH]c1c3ccc4ccn(C)c4c3c3c(c21)C(=O)NC3=O";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL383172";"";"None";"403.45";"0";"4.00";"3b";"Cc1ccc(C(=O)Nc2ccon2)cc1Nc1ncnc(NC2CCCC2)c1C#N";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL885184";"Inhibitory concentration against PKA";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1141103";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL44545";"MERIDIANIN B";"None";"305.13";"0";"2.68";"Meridianin B";"Nc1nccc(-c2c[nH]c3cc(Br)cc(O)c23)n1";"IC50";"'='";"210.0";"nM";"6.68";"";"";"UO_0000065";"21.89";"0.51";"4.00";"7.60";"0";"CHEMBL766370";"Inhibition of PKA (protein kinase A)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1148433";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL55592";"";"None";"368.40";"0";"3.93";"15";"O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL767982";"Inhibition of protein kinase A.";"B";"BAO_0000224";"protein format";"unidentified";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1130562";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";""
"CHEMBL55379";"";"None";"402.35";"1";"5.61";"10";"FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1";"IC50";"'='";"73000.0";"nM";"4.14";"";"";"UO_0000065";"10.28";"0.19";"-1.47";"6.58";"0";"CHEMBL767982";"Inhibition of protein kinase A.";"B";"BAO_0000224";"protein format";"unidentified";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1130562";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";""
"CHEMBL55742";"";"None";"411.42";"0";"4.23";"28";"O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL767982";"Inhibition of protein kinase A.";"B";"BAO_0000224";"protein format";"unidentified";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1130562";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1997";"None";"";""
"CHEMBL81214";"";"None";"193.21";"0";"2.59";"8";"N#Cc1ccc2[nH]c3cnccc3c2c1";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772598";"Inhibitory activity against protein kinase A.";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136119";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL77155";"";"None";"260.35";"0";"2.37";"isopentenyl adenine";"CC(C)=CCNc1nc(N)nc2c1ncn2C(C)C";"IC50";"'='";"50000.0";"nM";"4.30";"";"";"UO_0000065";"16.52";"0.31";"1.93";"5.27";"0";"CHEMBL823565";"Inhibition of cAMP-dependent protein kinase";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1135432";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";""
"CHEMBL97448";"";"None";"355.44";"0";"0.84";"14";"NCCNCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL822640";"Inhibition of c-AMP dependent kinase (PKA) using histone II A protein";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1128033";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL117443";"";"None";"446.60";"1";"5.28";"3";"Cc1ccc(=N)n(CCCCCCCCCCC(=O)Nc2ccc(-c3ccccc3)nn2)n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772599";"Inhibition of Protein kinase A";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136284";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL124033";"";"None";"353.38";"0";"3.86";"4i";"Cn1c2ccccc2c2c3c(c4c5ccccc5n(C)c4c21)C(=O)NC3=O";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL770103";"Inhibition of Protein kinase A (Not tested)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136337";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL425834";"";"None";"557.86";"2";"5.56";"55";"CN(C)CCCn1cc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)nn1";"IC50";"'>'";"40000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL896200";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1148782";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
